evidence_key	commit_sha	run_url	artifact_url	artifact_digest	index_sha256	target_cells	parity_report	systemd_run_url	systemd_artifact_url	systemd_artifact_digest	verification_report
debian/inkscape	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-inkscape.md	-	-	-	docs/evidence-verification/debian-inkscape.json
debian/kodi	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-kodi.md	-	-	-	docs/evidence-verification/debian-kodi.json
debian/krita	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-krita.md	-	-	-	docs/evidence-verification/debian-krita.json
debian/kdenlive	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-kdenlive.md	-	-	-	docs/evidence-verification/debian-kdenlive.json
debian/clementine	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-clementine.md	-	-	-	docs/evidence-verification/debian-clementine.json
debian/geary	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-geary.md	-	-	-	docs/evidence-verification/debian-geary.json
debian/uget	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-uget.md	-	-	-	docs/evidence-verification/debian-uget.json
debian/sayonara	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-sayonara.md	-	-	-	docs/evidence-verification/debian-sayonara.json
debian/musicbrainz-picard	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-musicbrainz-picard.md	-	-	-	docs/evidence-verification/debian-musicbrainz-picard.json
debian/shotcut	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-shotcut.md	-	-	-	docs/evidence-verification/debian-shotcut.json
